epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,37.4971,1.61762,1.29639,2.32397,1,0.33249,0.34101,0.19558,3.01175,3.46052,3.49376,0.000580174,0.000580174,0.000580174
50,38.2193,1.67192,1.28702,2.32843,1,0.33249,0.34101,0.19558,3.01175,3.46052,3.49376,0.00056249,0.00056249,0.00056249
51,38.9416,1.79719,1.27779,2.27225,0.99519,0.33333,0.54061,0.23864,2.79316,3.06882,3.31423,0.000544806,0.000544806,0.000544806
52,39.6656,1.65971,1.30318,2.27176,0.98465,0.33333,0.50663,0.2185,2.56921,2.75216,3.17909,0.000527122,0.000527122,0.000527122
53,40.3932,1.69273,1.24022,2.32813,0.87911,0.55556,0.54343,0.22445,2.3951,2.42348,3.05206,0.000509438,0.000509438,0.000509438
54,41.1111,1.63897,1.24533,2.23719,0.87911,0.55556,0.54343,0.22445,2.3951,2.42348,3.05206,0.000491755,0.000491755,0.000491755
55,41.8314,1.55896,1.18081,2.2087,0.9004,0.57407,0.67137,0.24209,2.35765,2.14806,2.96282,0.000474071,0.000474071,0.000474071
56,42.5612,1.50022,1.15632,2.14283,0.83618,0.80118,0.87181,0.24077,2.44498,1.94167,2.93732,0.000456387,0.000456387,0.000456387
57,43.2827,1.59913,1.18317,2.27756,0.8552,0.82413,0.94658,0.2988,2.43164,1.78686,2.89288,0.000438703,0.000438703,0.000438703
58,44.0089,1.84536,1.31878,2.44094,0.8552,0.82413,0.94658,0.2988,2.43164,1.78686,2.89288,0.000421019,0.000421019,0.000421019
59,44.832,1.70969,1.27027,2.28122,0.92651,0.83093,0.94634,0.35966,2.21953,1.62081,2.75862,0.000403335,0.000403335,0.000403335
60,45.5672,1.59369,1.22436,2.27723,0.87567,1,0.97512,0.39252,1.99233,1.47548,2.63148,0.000385651,0.000385651,0.000385651
61,46.2996,1.58223,1.13879,2.16374,0.94956,0.98148,0.98132,0.46283,1.76645,1.35781,2.51156,0.000367967,0.000367967,0.000367967
62,47.0272,1.53104,1.14007,2.17956,0.94956,0.98148,0.98132,0.46283,1.76645,1.35781,2.51156,0.000350284,0.000350284,0.000350284
63,47.7695,1.58514,1.16967,2.23285,0.95478,0.98148,0.97001,0.48039,1.70534,1.29815,2.46155,0.0003326,0.0003326,0.0003326
64,48.5055,1.57788,1.19778,2.17895,0.97523,1,0.995,0.4981,1.67387,1.21773,2.42514,0.000314916,0.000314916,0.000314916
65,49.2478,1.58551,1.14862,2.1853,0.97926,1,0.995,0.48124,1.77353,1.20703,2.44823,0.000297232,0.000297232,0.000297232
